org_base,org_derived,POS,derivation_process_prefix,derivation_process_suffix,base,derived,btd,dtb
Кизляра,Кизлярской,N.ADJ,,.ск,Кизляр,Кизлярск,,ск
Кизляр,Кизлярский,N.ADJ,nan.nan,.ск,Кизляр,Кизлярск,,ск
Кирилловы,Кирилловской,N.ADJ,,.ск,Кириллов,Кирилловск,,ск
Кирилловы,Кирилловский,N.ADJ,nan.nan,.ск,Кириллов,Кирилловск,,ск
Кирра,Киррский,N.ADJ,,.ск,Кирр,Киррск,,ск
Кирра,Киррскый,N.ADJ,nan.nan,.ск,Кирр,Киррск,,ск
Кирсанов,Кирсановский,N.ADJ,,.ск,Кирсанов,Кирсановск,,ск
Кирсанов,Кирсановской,N.ADJ,nan.nan,.ск,Кирсанов,Кирсановск,,ск
Клайпеде,Клайпедской,N.ADJ,,.ск,Клайпед,Клайпедск,,ск
Клайпеда,Клайпедской,N.ADJ,nan.nan,.ск,Клайпед,Клайпедск,,ск
Клейтона,Клейтонский,N.ADJ,,.ск,Клейтон,Клейтонск,,ск
Клейтон,Клейтонский,N.ADJ,nan.nan,.ск,Клейтон,Клейтонск,,ск
Кливленда,Кливлендский,N.ADJ,,.ск,Кливленд,Кливлендск,,ск
Кливленд,Кливлендский,N.ADJ,nan.nan,.ск,Кливленд,Кливлендск,,ск
Клифтоне,Клифтонский,N.ADJ,,.ск,Клифтон,Клифтонск,,ск
Клифтона,Клифтонский,N.ADJ,nan.nan,.ск,Клифтон,Клифтонск,,ск
Клушин,Клушинской,N.ADJ,,.ск,Клушин,Клушинск,,ск
Клушина,Клушинской,N.ADJ,nan.nan,.ск,Клушин,Клушинск,,ск
Ключев,Ключевской,N.ADJ,,.ск,Ключев,Ключевск,,ск
Ключев,Ключевский,N.ADJ,nan.nan,.ск,Ключев,Ключевск,,ск
Кнышева,Кнышевский,N.ADJ,,.ск,Кнышев,Кнышевск,,ск
Кнышев,Кнышевский,N.ADJ,nan.nan,.ск,Кнышев,Кнышевск,,ск
Козловы,Козловский,N.ADJ,,.ск,Козлов,Козловск,,ск
Козлова,Козловскый,N.ADJ,nan.nan,.ск,Козлов,Козловск,,ск
Колчина,Колчинский,N.ADJ,,.ск,Колчин,Колчинск,,ск
Колчина,Колчинскый,N.ADJ,nan.nan,.ск,Колчин,Колчинск,,ск
Кольчугино,Кольчугинский,N.ADJ,,.ск,Кольчугин,Кольчугинск,,ск
Кольчугин,Кольчугинскый,N.ADJ,nan.nan,.ск,Кольчугин,Кольчугинск,,ск
Колязина,Колязинский,N.ADJ,,.ск,Колязин,Колязинск,,ск
Колязин,Колязинский,N.ADJ,nan.nan,.ск,Колязин,Колязинск,,ск
Командоры,Командорский,N.ADJ,,.ск,Командор,Командорск,,ск
Командоры,Командорскый,N.ADJ,nan.nan,.ск,Командор,Командорск,,ск
Коренево,Кореневский,N.ADJ,,.ск,Коренев,Кореневск,,ск
Коренев,Кореневскый,N.ADJ,nan.nan,.ск,Коренев,Кореневск,,ск
Коринф,Коринфский,N.ADJ,,.ск,Коринф,Коринфск,,ск
Коринфа,Коринфский,N.ADJ,nan.nan,.ск,Коринф,Коринфск,,ск
Корнилов,Корниловский,N.ADJ,,.ск,Корнилов,Корниловск,,ск
Корнилов,Корниловской,N.ADJ,nan.nan,.ск,Корнилов,Корниловск,,ск
Коровине,Коровинский,N.ADJ,,.ск,Коровин,Коровинск,,ск
Коровин,Коровинский,N.ADJ,nan.nan,.ск,Коровин,Коровинск,,ск
Корткерос,Корткеросский,N.ADJ,,.ск,Корткерос,Корткеросск,,ск
Корткерос,Корткеросскый,N.ADJ,nan.nan,.ск,Корткерос,Корткеросск,,ск
Коршунова,Коршуновский,N.ADJ,,.ск,Коршунов,Коршуновск,,ск
Коршунов,Коршуновский,N.ADJ,nan.nan,.ск,Коршунов,Коршуновск,,ск
Костине,Костинский,N.ADJ,,.ск,Костин,Костинск,,ск
Костин,Костинский,N.ADJ,nan.nan,.ск,Костин,Костинск,,ск
Котельников,Котельниковский,N.ADJ,,.ск,Котельников,Котельниковск,,ск
Котельниковы,Котельниковскый,N.ADJ,nan.nan,.ск,Котельников,Котельниковск,,ск
Красногор,Красногорский,N.ADJ,,.ск,Красногор,Красногорск,,ск
Красногорье,Красногорский,N.ADJ,nan.nan,.ск,Красногор,Красногорск,,ск
Красноселькуп,Красноселькупский,N.ADJ,,.ск,Красноселькуп,Красноселькупск,,ск
Красноселькуп,Красноселькупскый,N.ADJ,nan.nan,.ск,Красноселькуп,Красноселькупск,,ск
Красов,Красовский,N.ADJ,,.ск,Красов,Красовск,,ск
Красова,Красовский,N.ADJ,nan.nan,.ск,Красов,Красовск,,ск
Кременчуг,Кременчугский,N.ADJ,,.ск,Кременчуг,Кременчугск,,ск
Кременчуга,Кременчугской,N.ADJ,nan.nan,.ск,Кременчуг,Кременчугск,,ск
Кремоне,Кремонский,N.ADJ,,.ск,Кремон,Кремонск,,ск
Кремоны,Кремонскый,N.ADJ,nan.nan,.ск,Кремон,Кремонск,,ск
Крестина,Крестинский,N.ADJ,,.ск,Крестин,Крестинск,,ск
Крестина,Крестинскый,N.ADJ,nan.nan,.ск,Крестин,Крестинск,,ск
Крестова,Крестовский,N.ADJ,,.ск,Крестов,Крестовск,,ск
Крестова,Крестовскый,N.ADJ,nan.nan,.ск,Крестов,Крестовск,,ск
Кречина,Кречинский,N.ADJ,,.ск,Кречин,Кречинск,,ск
Кречин,Кречинский,N.ADJ,nan.nan,.ск,Кречин,Кречинск,,ск
Кричева,Кричевский,N.ADJ,,.ск,Кричев,Кричевск,,ск
Кричева,Кричевскый,N.ADJ,nan.nan,.ск,Кричев,Кричевск,,ск
Крома,Кромский,N.ADJ,,.ск,Кром,Кромск,,ск
Кромы,Кромской,N.ADJ,nan.nan,.ск,Кром,Кромск,,ск
Кронверк,Кронверкский,N.ADJ,,.ск,Кронверк,Кронверкск,,ск
Кронверк,Кронверкскый,N.ADJ,nan.nan,.ск,Кронверк,Кронверкск,,ск
Кронштадте,Кронштадтской,N.ADJ,,.ск,Кронштадт,Кронштадтск,,ск
Кронштадт,Кронштадтский,N.ADJ,nan.nan,.ск,Кронштадт,Кронштадтск,,ск
Кудымкар,Кудымкарский,N.ADJ,,.ск,Кудымкар,Кудымкарск,,ск
Кудымкар,Кудымкарскый,N.ADJ,nan.nan,.ск,Кудымкар,Кудымкарск,,ск
Куйтуна,Куйтунский,N.ADJ,,.ск,Куйтун,Куйтунск,,ск
Куйтун,Куйтунскый,N.ADJ,nan.nan,.ск,Куйтун,Куйтунск,,ск
Кумертау,Кумертауский,N.ADJ,,.ск,Кумертау,Кумертауск,,ск
Кумертау,Кумертаускый,N.ADJ,nan.nan,.ск,Кумертау,Кумертауск,,ск
Кунгуре,Кунгурский,N.ADJ,,.ск,Кунгур,Кунгурск,,ск
Кунгура,Кунгурской,N.ADJ,nan.nan,.ск,Кунгур,Кунгурск,,ск
Курша,Куршский,N.ADJ,,.ск,Курш,Куршск,,ск
Курша,Куршской,N.ADJ,nan.nan,.ск,Курш,Куршск,,ск
Кутаисе,Кутаисской,N.ADJ,,.ск,Кутаис,Кутаисск,,ск
Кутаиса,Кутаисский,N.ADJ,nan.nan,.ск,Кутаис,Кутаисск,,ск
Кутузов,Кутузовский,N.ADJ,,.ск,Кутузов,Кутузовск,,ск
Кутузов,Кутузовскый,N.ADJ,nan.nan,.ск,Кутузов,Кутузовск,,ск
Кучино,Кучинский,N.ADJ,,.ск,Кучин,Кучинск,,ск
Кучин,Кучинской,N.ADJ,nan.nan,.ск,Кучин,Кучинск,,ск
Кушелев,Кушелевский,N.ADJ,,.ск,Кушелев,Кушелевск,,ск
Кушелева,Кушелевский,N.ADJ,nan.nan,.ск,Кушелев,Кушелевск,,ск
Кэмбридже,Кэмбриджский,N.ADJ,,.ск,Кэмбридж,Кэмбриджск,,ск
Кэмбриджа,Кэмбриджский,N.ADJ,nan.nan,.ск,Кэмбридж,Кэмбриджск,,ск
Лаишева,Лаишевский,N.ADJ,,.ск,Лаишев,Лаишевск,,ск
Лаишева,Лаишевскый,N.ADJ,nan.nan,.ск,Лаишев,Лаишевск,,ск
Лакедемон,Лакедемонской,N.ADJ,,.ск,Лакедемон,Лакедемонск,,ск
Лакедемона,Лакедемонской,N.ADJ,nan.nan,.ск,Лакедемон,Лакедемонск,,ск
Лан,Ланской,N.ADJ,,.ск,Лан,Ланск,,ск
Лана,Ланской,N.ADJ,nan.nan,.ск,Лан,Ланск,,ск
Ларина,Ларинской,N.ADJ,,.ск,Ларин,Ларинск,,ск
Ларины,Ларинской,N.ADJ,nan.nan,.ск,Ларин,Ларинск,,ск
Латруна,Латрунский,N.ADJ,,.ск,Латрун,Латрунск,,ск
Латрун,Латрунский,N.ADJ,nan.nan,.ск,Латрун,Латрунск,,ск
Лахора,Лахорский,N.ADJ,,.ск,Лахор,Лахорск,,ск
Лахор,Лахорскый,N.ADJ,nan.nan,.ск,Лахор,Лахорск,,ск
Левокумье,Левокумский,N.ADJ,,.ск,Левокум,Левокумск,,ск
Левокумье,Левокумскый,N.ADJ,nan.nan,.ск,Левокум,Левокумск,,ск
Лекшмозеро,Лекшмозерской,N.ADJ,,.ск,Лекшмозер,Лекшмозерск,,ск
Лекшмозера,Лекшмозерской,N.ADJ,nan.nan,.ск,Лекшмозер,Лекшмозерск,,ск
Лешуконье,Лешуконский,N.ADJ,,.ск,Лешукон,Лешуконск,,ск
Лешуконье,Лешуконскый,N.ADJ,nan.nan,.ск,Лешукон,Лешуконск,,ск
Либава,Либавской,N.ADJ,,.ск,Либав,Либавск,,ск
Либава,Либавский,N.ADJ,nan.nan,.ск,Либав,Либавск,,ск
Лим,Лимский,N.ADJ,,.ск,Лим,Лимск,,ск
Лимы,Лимский,N.ADJ,nan.nan,.ск,Лим,Лимск,,ск
Лиссабон,Лиссабонской,N.ADJ,,.ск,Лиссабон,Лиссабонск,,ск
Лиссабона,Лиссабонский,N.ADJ,nan.nan,.ск,Лиссабон,Лиссабонск,,ск
Ловозере,Ловозерский,N.ADJ,,.ск,Ловозер,Ловозерск,,ск
Ловозера,Ловозерский,N.ADJ,nan.nan,.ск,Ловозер,Ловозерск,,ск
Лозанн,Лозаннский,N.ADJ,,.ск,Лозанн,Лозаннск,,ск
Лозанн,Лозаннскый,N.ADJ,nan.nan,.ск,Лозанн,Лозаннск,,ск
Лопухина,Лопухинский,N.ADJ,,.ск,Лопухин,Лопухинск,,ск
Лопухина,Лопухинскый,N.ADJ,nan.nan,.ск,Лопухин,Лопухинск,,ск
Лувр,Луврский,N.ADJ,,.ск,Лувр,Луврск,,ск
Лувр,Луврскый,N.ADJ,nan.nan,.ск,Лувр,Луврск,,ск
Лугане,Луганский,N.ADJ,,.ск,Луган,Луганск,,ск
Лугана,Луганский,N.ADJ,nan.nan,.ск,Луган,Луганск,,ск
Лукоянова,Лукояновский,N.ADJ,,.ск,Лукоянов,Лукояновск,,ск
Лукоянова,Лукояновской,N.ADJ,nan.nan,.ск,Лукоянов,Лукояновск,,ск
Луксоре,Луксорский,N.ADJ,,.ск,Луксор,Луксорск,,ск
Луксор,Луксорский,N.ADJ,nan.nan,.ск,Луксор,Луксорск,,ск
Лурда,Лурдской,N.ADJ,,.ск,Лурд,Лурдск,,ск
Лурд,Лурдской,N.ADJ,nan.nan,.ск,Лурд,Лурдск,,ск
Лыткарине,Лыткаринский,N.ADJ,,.ск,Лыткарин,Лыткаринск,,ск
Лыткарина,Лыткаринский,N.ADJ,nan.nan,.ск,Лыткарин,Лыткаринск,,ск
Льгово,Льговской,N.ADJ,,.ск,Льгов,Льговск,,ск
Льгова,Льговский,N.ADJ,nan.nan,.ск,Льгов,Льговск,,ск
Любаре,Любарский,N.ADJ,,.ск,Любар,Любарск,,ск
Любара,Любарскый,N.ADJ,nan.nan,.ск,Любар,Любарск,,ск
Люблино,Люблинский,N.ADJ,,.ск,Люблин,Люблинск,,ск
Люблина,Люблинский,N.ADJ,nan.nan,.ск,Люблин,Люблинск,,ск
Любляны,Люблянский,N.ADJ,,.ск,Люблян,Люблянск,,ск
Любляны,Люблянской,N.ADJ,nan.nan,.ск,Люблян,Люблянск,,ск
Ляодун,Ляодунский,N.ADJ,,.ск,Ляодун,Ляодунск,,ск
Ляодун,Ляодунскый,N.ADJ,nan.nan,.ск,Ляодун,Ляодунск,,ск
Ляоян,Ляоянский,N.ADJ,,.ск,Ляоян,Ляоянск,,ск
Ляояна,Ляоянский,N.ADJ,nan.nan,.ск,Ляоян,Ляоянск,,ск
Ляхове,Ляховский,N.ADJ,,.ск,Ляхов,Ляховск,,ск
Ляхова,Ляховскый,N.ADJ,nan.nan,.ск,Ляхов,Ляховск,,ск
Маастрихт,Маастрихтский,N.ADJ,,.ск,Маастрихт,Маастрихтск,,ск
Маастрихта,Маастрихтскый,N.ADJ,nan.nan,.ск,Маастрихт,Маастрихтск,,ск
Магдалины,Магдалинский,N.ADJ,,.ск,Магдалин,Магдалинск,,ск
Магдалина,Магдалинский,N.ADJ,nan.nan,.ск,Магдалин,Магдалинск,,ск
Мадрид,Мадридской,N.ADJ,,.ск,Мадрид,Мадридск,,ск
Мадрид,Мадридский,N.ADJ,nan.nan,.ск,Мадрид,Мадридск,,ск
Мазилове,Мазиловский,N.ADJ,,.ск,Мазилов,Мазиловск,,ск
Мазилова,Мазиловский,N.ADJ,nan.nan,.ск,Мазилов,Мазиловск,,ск
Майкопе,Майкопской,N.ADJ,,.ск,Майкоп,Майкопск,,ск
Майкоп,Майкопской,N.ADJ,nan.nan,.ск,Майкоп,Майкопск,,ск
Макаре,Макарский,N.ADJ,,.ск,Макар,Макарск,,ск
Макарье,Макарский,N.ADJ,nan.nan,.ск,Макар,Макарск,,ск
Макушина,Макушинский,N.ADJ,,.ск,Макушин,Макушинск,,ск
Макушин,Макушинский,N.ADJ,nan.nan,.ск,Макушин,Макушинск,,ск
Малгобеке,Малгобекский,N.ADJ,,.ск,Малгобек,Малгобекск,,ск
Малгобек,Малгобекскый,N.ADJ,nan.nan,.ск,Малгобек,Малгобекск,,ск
Малмыжа,Малмыжский,N.ADJ,,.ск,Малмыж,Малмыжск,,ск
Малмыжа,Малмыжскый,N.ADJ,nan.nan,.ск,Малмыж,Малмыжск,,ск
Мальдивы,Мальдивской,N.ADJ,,.ск,Мальдив,Мальдивск,,ск
Мальдив,Мальдивский,N.ADJ,nan.nan,.ск,Мальдив,Мальдивск,,ск
Мамисон,Мамисонский,N.ADJ,,.ск,Мамисон,Мамисонск,,ск
Мамисона,Мамисонский,N.ADJ,nan.nan,.ск,Мамисон,Мамисонск,,ск
Мамонтова,Мамонтовский,N.ADJ,,.ск,Мамонтов,Мамонтовск,,ск
Мамонтова,Мамонтовскый,N.ADJ,nan.nan,.ск,Мамонтов,Мамонтовск,,ск
Мангышлака,Мангышлакской,N.ADJ,,.ск,Мангышлак,Мангышлакск,,ск
Мангышлак,Мангышлакской,N.ADJ,nan.nan,.ск,Мангышлак,Мангышлакск,,ск
Мансурово,Мансуровский,N.ADJ,,.ск,Мансуров,Мансуровск,,ск
Мансурова,Мансуровский,N.ADJ,nan.nan,.ск,Мансуров,Мансуровск,,ск
Мантурово,Мантуровский,N.ADJ,,.ск,Мантуров,Мантуровск,,ск
Мантурова,Мантуровскый,N.ADJ,nan.nan,.ск,Мантуров,Мантуровск,,ск
Манхеттена,Манхеттенский,N.ADJ,,.ск,Манхеттен,Манхеттенск,,ск
Манхеттена,Манхеттенскый,N.ADJ,nan.nan,.ск,Манхеттен,Манхеттенск,,ск
Манчестер,Манчестерский,N.ADJ,,.ск,Манчестер,Манчестерск,,ск
Манчестер,Манчестерскый,N.ADJ,nan.nan,.ск,Манчестер,Манчестерск,,ск
Марково,Марковской,N.ADJ,,.ск,Марков,Марковск,,ск
Марковы,Марковской,N.ADJ,nan.nan,.ск,Марков,Марковск,,ск
Мариан,Марианской,N.ADJ,,.ск,Мариан,Марианск,,ск
Мариан,Марианский,N.ADJ,nan.nan,.ск,Мариан,Марианск,,ск
Мглин,Мглинский,N.ADJ,,.ск,Мглин,Мглинск,,ск
Мглин,Мглинскый,N.ADJ,nan.nan,.ск,Мглин,Мглинск,,ск
Медельине,Медельинский,N.ADJ,,.ск,Медельин,Медельинск,,ск
Медельина,Медельинский,N.ADJ,nan.nan,.ск,Медельин,Медельинск,,ск
Медеу,Медеуский,N.ADJ,,.ск,Медеу,Медеуск,,ск
Медеу,Медеускый,N.ADJ,nan.nan,.ск,Медеу,Медеуск,,ск
Межигорья,Межигорский,N.ADJ,,.ск,Межигор,Межигорск,,ск
Межигорье,Межигорский,N.ADJ,nan.nan,.ск,Межигор,Межигорск,,ск
Мен,Менский,N.ADJ,,.ск,Мен,Менск,,ск
Мен,Менской,N.ADJ,nan.nan,.ск,Мен,Менск,,ск
Меркулове,Меркуловский,N.ADJ,,.ск,Меркулов,Меркуловск,,ск
Меркуловы,Меркуловский,N.ADJ,nan.nan,.ск,Меркулов,Меркуловск,,ск
Мессины,Мессинской,N.ADJ,,.ск,Мессин,Мессинск,,ск
Мессины,Мессинский,N.ADJ,nan.nan,.ск,Мессин,Мессинск,,ск
Миланова,Милановский,N.ADJ,,.ск,Миланов,Милановск,,ск
Миланов,Милановский,N.ADJ,nan.nan,.ск,Миланов,Милановск,,ск
Миллерове,Миллеровский,N.ADJ,,.ск,Миллеров,Миллеровск,,ск
Миллерова,Миллеровскый,N.ADJ,nan.nan,.ск,Миллеров,Миллеровск,,ск
Миргород,Миргородской,N.ADJ,,.ск,Миргород,Миргородск,,ск
Миргород,Миргородский,N.ADJ,nan.nan,.ск,Миргород,Миргородск,,ск
Мироновы,Мироновский,N.ADJ,,.ск,Миронов,Мироновск,,ск
Миронов,Мироновскый,N.ADJ,nan.nan,.ск,Миронов,Мироновск,,ск
Можарова,Можаровский,N.ADJ,,.ск,Можаров,Можаровск,,ск
Можарова,Можаровскый,N.ADJ,nan.nan,.ск,Можаров,Можаровск,,ск
Мозамбике,Мозамбикский,N.ADJ,,.ск,Мозамбик,Мозамбикск,,ск
Мозамбик,Мозамбикскый,N.ADJ,nan.nan,.ск,Мозамбик,Мозамбикск,,ск
Мологе,Мологской,N.ADJ,,.ск,Молог,Мологск,,ск
Молога,Мологской,N.ADJ,nan.nan,.ск,Молог,Мологск,,ск
Мстислав,Мстиславский,N.ADJ,,.ск,Мстислав,Мстиславск,,ск
Мстислав,Мстиславской,N.ADJ,nan.nan,.ск,Мстислав,Мстиславск,,ск
Мургаба,Мургабской,N.ADJ,,.ск,Мургаб,Мургабск,,ск
Мургаб,Мургабский,N.ADJ,nan.nan,.ск,Мургаб,Мургабск,,ск
Мурин,Муринский,N.ADJ,,.ск,Мурин,Муринск,,ск
Мурина,Муринскый,N.ADJ,nan.nan,.ск,Мурин,Муринск,,ск
Мурмана,Мурманской,N.ADJ,,.ск,Мурман,Мурманск,,ск
Мурман,Мурманской,N.ADJ,nan.nan,.ск,Мурман,Мурманск,,ск
Муромцев,Муромцевский,N.ADJ,,.ск,Муромцев,Муромцевск,,ск
Муромцева,Муромцевскый,N.ADJ,nan.nan,.ск,Муромцев,Муромцевск,,ск
Мцхете,Мцхетский,N.ADJ,,.ск,Мцхет,Мцхетск,,ск
Мцхеты,Мцхетскый,N.ADJ,nan.nan,.ск,Мцхет,Мцхетск,,ск
Мюнстер,Мюнстерский,N.ADJ,,.ск,Мюнстер,Мюнстерск,,ск
Мюнстера,Мюнстерский,N.ADJ,nan.nan,.ск,Мюнстер,Мюнстерск,,ск
Надеина,Надеинский,N.ADJ,,.ск,Надеин,Надеинск,,ск
Надеин,Надеинский,N.ADJ,nan.nan,.ск,Надеин,Надеинск,,ск
Нанкине,Нанкинский,N.ADJ,,.ск,Нанкин,Нанкинск,,ск
Нанкин,Нанкинский,N.ADJ,nan.nan,.ск,Нанкин,Нанкинск,,ск
Нарбонн,Нарбоннский,N.ADJ,,.ск,Нарбонн,Нарбоннск,,ск
Нарбонны,Нарбоннский,N.ADJ,nan.nan,.ск,Нарбонн,Нарбоннск,,ск
Наре,Нарский,N.ADJ,,.ск,Нар,Нарск,,ск
Нара,Нарский,N.ADJ,nan.nan,.ск,Нар,Нарск,,ск
Нарве,Нарвский,N.ADJ,,.ск,Нарв,Нарвск,,ск
Нарвы,Нарвский,N.ADJ,nan.nan,.ск,Нарв,Нарвск,,ск
Науре,Наурский,N.ADJ,,.ск,Наур,Наурск,,ск
Наура,Наурский,N.ADJ,nan.nan,.ск,Наур,Наурск,,ск
Нахимове,Нахимовский,N.ADJ,,.ск,Нахимов,Нахимовск,,ск
Нахимовы,Нахимовский,N.ADJ,nan.nan,.ск,Нахимов,Нахимовск,,ск
Нахичеване,Нахичеванской,N.ADJ,,.ск,Нахичеван,Нахичеванск,,ск
Нахичевана,Нахичеванской,N.ADJ,nan.nan,.ск,Нахичеван,Нахичеванск,,ск
Нахчыван,Нахчыванской,N.ADJ,,.ск,Нахчыван,Нахчыванск,,ск
Нахчывана,Нахчыванский,N.ADJ,nan.nan,.ск,Нахчыван,Нахчыванск,,ск
Неверова,Неверовский,N.ADJ,,.ск,Неверов,Неверовск,,ск
Неверов,Неверовский,N.ADJ,nan.nan,.ск,Неверов,Неверовск,,ск
Нелидово,Нелидовский,N.ADJ,,.ск,Нелидов,Нелидовск,,ск
Нелидов,Нелидовскый,N.ADJ,nan.nan,.ск,Нелидов,Нелидовск,,ск
Немиров,Немировский,N.ADJ,,.ск,Немиров,Немировск,,ск
Немирова,Немировский,N.ADJ,nan.nan,.ск,Немиров,Немировск,,ск
Нерехта,Нерехтский,N.ADJ,,.ск,Нерехт,Нерехтск,,ск
Нерехта,Нерехтскый,N.ADJ,nan.nan,.ск,Нерехт,Нерехтск,,ск
Ниагары,Ниагарский,N.ADJ,,.ск,Ниагар,Ниагарск,,ск
Ниагара,Ниагарскый,N.ADJ,nan.nan,.ск,Ниагар,Ниагарск,,ск
Нивин,Нивинский,N.ADJ,,.ск,Нивин,Нивинск,,ск
Нивин,Нивинскый,N.ADJ,nan.nan,.ск,Нивин,Нивинск,,ск
Нисе,Нисский,N.ADJ,,.ск,Нис,Нисск,,ск
Нисы,Нисскый,N.ADJ,nan.nan,.ск,Нис,Нисск,,ск
Новогороде,Новогородской,N.ADJ,,.ск,Новогород,Новогородск,,ск
Новогорода,Новогородской,N.ADJ,nan.nan,.ск,Новогород,Новогородск,,ск
Нукусе,Нукусский,N.ADJ,,.ск,Нукус,Нукусск,,ск
Нукус,Нукусский,N.ADJ,nan.nan,.ск,Нукус,Нукусск,,ск
Нурлате,Нурлатской,N.ADJ,,.ск,Нурлат,Нурлатск,,ск
Нурлат,Нурлатской,N.ADJ,nan.nan,.ск,Нурлат,Нурлатск,,ск
Нюренберге,Нюренбергский,N.ADJ,,.ск,Нюренберг,Нюренбергск,,ск
Нюренберг,Нюренбергскый,N.ADJ,nan.nan,.ск,Нюренберг,Нюренбергск,,ск
Няндоме,Няндомский,N.ADJ,,.ск,Няндом,Няндомск,,ск
Няндомы,Няндомский,N.ADJ,nan.nan,.ск,Няндом,Няндомск,,ск
Обонежья,Обонежской,N.ADJ,,.ск,Обонеж,Обонежск,,ск
Обонежье,Обонежской,N.ADJ,nan.nan,.ск,Обонеж,Обонежск,,ск
Одинцово,Одинцовской,N.ADJ,,.ск,Одинцов,Одинцовск,,ск
Одинцов,Одинцовский,N.ADJ,nan.nan,.ск,Одинцов,Одинцовск,,ск
Одоев,Одоевский,N.ADJ,,.ск,Одоев,Одоевск,,ск
Одоев,Одоевскый,N.ADJ,nan.nan,.ск,Одоев,Одоевск,,ск
Озеркова,Озерковский,N.ADJ,,.ск,Озерков,Озерковск,,ск
Озеркова,Озерковской,N.ADJ,nan.nan,.ск,Озерков,Озерковск,,ск
Оймякон,Оймяконский,N.ADJ,,.ск,Оймякон,Оймяконск,,ск
Оймякон,Оймяконскый,N.ADJ,nan.nan,.ск,Оймякон,Оймяконск,,ск
Окридже,Окриджской,N.ADJ,,.ск,Окридж,Окриджск,,ск
Окриджа,Окриджской,N.ADJ,nan.nan,.ск,Окридж,Окриджск,,ск
Ольденбург,Ольденбургской,N.ADJ,,.ск,Ольденбург,Ольденбургск,,ск
Ольденбург,Ольденбургский,N.ADJ,nan.nan,.ск,Ольденбург,Ольденбургск,,ск
Ольхоне,Ольхонский,N.ADJ,,.ск,Ольхон,Ольхонск,,ск
Ольхон,Ольхонскый,N.ADJ,nan.nan,.ск,Ольхон,Ольхонск,,ск
Оля,Олеский,N.ADJ,,.ск,Ол,Олеск,,ск
Олье,Олеский,N.ADJ,nan.nan,.ск,Ол,Олеск,,ск
Оптине,Оптинский,N.ADJ,,.ск,Оптин,Оптинск,,ск
Оптина,Оптинской,N.ADJ,nan.nan,.ск,Оптин,Оптинск,,ск
Оран,Оранской,N.ADJ,,.ск,Оран,Оранск,,ск
Орана,Оранской,N.ADJ,nan.nan,.ск,Оран,Оранск,,ск
Ораниенбауме,Ораниенбаумской,N.ADJ,,.ск,Ораниенбаум,Ораниенбаумск,,ск
Ораниенбаума,Ораниенбаумской,N.ADJ,nan.nan,.ск,Ораниенбаум,Ораниенбаумск,,ск
Оро,Орской,N.ADJ,,.ск,Ор,Орск,,ск
Оры,Орский,N.ADJ,nan.nan,.ск,Ор,Орск,,ск
Орегоне,Орегонский,N.ADJ,,.ск,Орегон,Орегонск,,ск
Орегона,Орегонскый,N.ADJ,nan.nan,.ск,Орегон,Орегонск,,ск
Ормуза,Ормузский,N.ADJ,,.ск,Ормуз,Ормузск,,ск
Ормуза,Ормузскый,N.ADJ,nan.nan,.ск,Ормуз,Ормузск,,ск
Осетрово,Осетровский,N.ADJ,,.ск,Осетров,Осетровск,,ск
Осетрова,Осетровскый,N.ADJ,nan.nan,.ск,Осетров,Осетровск,,ск
Осиново,Осиновский,N.ADJ,,.ск,Осинов,Осиновск,,ск
Осинова,Осиновский,N.ADJ,nan.nan,.ск,Осинов,Осиновск,,ск
Останкино,Останкинской,N.ADJ,,.ск,Останкин,Останкинск,,ск
Останкина,Останкинской,N.ADJ,nan.nan,.ск,Останкин,Останкинск,,ск
Охрид,Охридский,N.ADJ,,.ск,Охрид,Охридск,,ск
Охрида,Охридской,N.ADJ,nan.nan,.ск,Охрид,Охридск,,ск
Очакове,Очаковской,N.ADJ,,.ск,Очаков,Очаковск,,ск
Очакова,Очаковской,N.ADJ,nan.nan,.ск,Очаков,Очаковск,,ск
Павловы,Павловский,N.ADJ,,.ск,Павлов,Павловск,,ск
Павловы,Павловскый,N.ADJ,nan.nan,.ск,Павлов,Павловск,,ск
Павлоград,Павлоградский,N.ADJ,,.ск,Павлоград,Павлоградск,,ск
Павлограда,Павлоградскый,N.ADJ,nan.nan,.ск,Павлоград,Павлоградск,,ск
Павлодаре,Павлодарской,N.ADJ,,.ск,Павлодар,Павлодарск,,ск
Павлодара,Павлодарской,N.ADJ,nan.nan,.ск,Павлодар,Павлодарск,,ск
Падун,Падунский,N.ADJ,,.ск,Падун,Падунск,,ск
Падуна,Падунской,N.ADJ,nan.nan,.ск,Падун,Падунск,,ск
Палатин,Палатинской,N.ADJ,,.ск,Палатин,Палатинск,,ск
Палатин,Палатинский,N.ADJ,nan.nan,.ск,Палатин,Палатинск,,ск
Панама,Панамской,N.ADJ,,.ск,Панам,Панамск,,ск
Панамы,Панамской,N.ADJ,nan.nan,.ск,Панам,Панамск,,ск
Пашкове,Пашковской,N.ADJ,,.ск,Пашков,Пашковск,,ск
Пашков,Пашковский,N.ADJ,nan.nan,.ск,Пашков,Пашковск,,ск
Паньков,Паньковский,N.ADJ,,.ск,Паньков,Паньковск,,ск
Панькова,Паньковскый,N.ADJ,nan.nan,.ск,Паньков,Паньковск,,ск
