org_base	org_derived	POS	derivation_prefix,deravation_suffix
Вианный	Виан	ADJ.N	,н.
Вивеканандый	Вивекананда	ADJ.N	
Вивеканандый	Вивекананды	ADJ.N	
Вигго	Виггый	N.ADJ	
Вижница	Вижницкий	N.ADJ	,.к
Виговский	Виговский	ADJ.N	
Видин	Видинской	N.ADJ	,.ск
Видо	Виданый	N.ADJ	,.ан
Видон	Видновский	N.ADJ	,.овск
Видон	Видновской	N.ADJ	,.овск
Видягине	Видягиный	N.ADJ	
Видягиный	Видягино	ADJ.N	
Виельгорский	Виельгорский	ADJ.N	
Виенне	Виенный	N.ADJ	
Вий	Вивый	N.ADJ	,.ив
Вивый	Вива	ADJ.N	
Вивый	Вивье	ADJ.N	
Вика	Викарный	N.ADJ	,.арн
Вика	Викиный	N.ADJ	,.ин
Викрам	Викрамый	N.ADJ	
Викторовна	Викторовной	N.ADJ	
Викуловскый	Викулова	ADJ.N	,ск.
Виле	Вильный	N.ADJ	,.ьн
Вилейской	Вилей	ADJ.N	,ск.
Вилей	Вилейский	N.ADJ	,.ск
Вилья	Вильий	N.ADJ	,.ь
Виленскый	Вилен	ADJ.N	,ск.
Виллимый	Виллим	ADJ.N	
Вилонова	Вилоновской	N.ADJ	,.ск
Вилухиной	Вилухина	ADJ.N	
Вильгельмине	Вильгельминой	N.ADJ	
Вильгельминой	Вильгельмина	ADJ.N	
Вильчек	Вильчковский	N.ADJ	,.овск
Вильчковский	Вильчковский	ADJ.N	
Вильма	Вильмый	N.ADJ	
Вильне	Виленский	N.ADJ	,ьн.нск
Вильнюса	Вильнюсской	N.ADJ	,.ск
Вильпен	Вильпен	ADJ.N	
Вильпрафен	Вильпрафен	ADJ.N	
Вильхельмый	Вильхельм	ADJ.N	
Вилюе	Вилюйской	N.ADJ	,.йск
Вилюйской	Вилюйск	ADJ.N	
Вилюйской	Вилюйска	ADJ.N	
Вилючинский	Вилючинск	ADJ.N	
Вилючинск	Вилючинскый	N.ADJ	
Вилючинский	Вилючинска	ADJ.N	
Вим	Вимый	N.ADJ	
Виндавскый	Виндавы	ADJ.N	,ск.
Виндзора	Виндзорский	N.ADJ	,.ск
Виндзорский	Виндзор	ADJ.N	,ск.
Виндзорский	Виндзоры	ADJ.N	,ск.
Винника	Винниковой	N.ADJ	,.в
Винника	Винницкий	N.ADJ	,к.цк
Винницкий	Винницкий	ADJ.N	
Виноградов	Виноградовый	N.ADJ	
Виноградово	Виноградовский	N.ADJ	,.ск
Виноградовский	Виноградова	ADJ.N	,ск.
Виноградский	Виноградский	ADJ.N	
Виноградский	Винограды	ADJ.N	,ск.
Винокуру	Винокуровой	N.ADJ	,у.в
Винокуровой	Винокуровой	ADJ.N	
Винокуровой	Винокурова	ADJ.N	
Винскый	Винка	ADJ.N	,ск.к
Винья	Виньый	N.ADJ	,.ь
Виньый	Виньо	ADJ.N	
Виньо	Винский	N.ADJ	,ь.ск
Винский	Винский	ADJ.N	
Виньый	Винь	ADJ.N	,ь.
Виргилий	Виргилиевый	N.ADJ	,.иев
Виргиния	Виргинский	N.ADJ	,и.ск
Виргинский	Виргинский	ADJ.N	
Вирен	Вирен	ADJ.N	
Вирскый	Вир	ADJ.N	,ск.
Вирскый	Вира	ADJ.N	,ск.
Вира	Вириный	N.ADJ	,.ин
Вира	Вирский	N.ADJ	,.ск
Висимский	Висима	ADJ.N	,ск.
Висконсинскый	Висконсина	ADJ.N	,ск.
Висконсина	Висконсинский	N.ADJ	,.ск
Високи	Висковатый	N.ADJ	,.оват
Виссариона	Виссарионый	N.ADJ	
Виталиной	Виталина	ADJ.N	
Витальевной	Витальевны	ADJ.N	
Витебскый	Витебска	ADJ.N	
Витиме	Витимский	N.ADJ	,.ск
Витимский	Витимский	ADJ.N	
Витимский	Витима	ADJ.N	,ск.
Витиме	Витимый	N.ADJ	
Витковска	Витковскый	N.ADJ	
Витковска	Витковский	N.ADJ	
Витрянский	Витрянский	ADJ.N	
Виттенбергский	Виттенберг	ADJ.N	,ск.
Виттенбергскый	Виттенберга	ADJ.N	,ск.
Витьбы	Витебский	N.ADJ	,ьб.бск
Витебский	Витебский	ADJ.N	
Витебский	Витебщина	ADJ.N	,ск.щин
Витька	Витькин	N.ADJ	,.ин
Витька	Витькиный	N.ADJ	,.ин
Витя	Витин	N.ADJ	,.ин
Витязевский	Витязев	ADJ.N	,ск.
Вифаня	Вифанской	N.ADJ	,.ск
Вифиния	Вифинской	N.ADJ	,и.ск
Вифинской	Вифинской	ADJ.N	
Вифлеема	Вифлеемский	N.ADJ	,.ск
Вифлеемский	Вифлеем	ADJ.N	,ск.
Вифлеем	Вифлеемской	N.ADJ	,.ск
Вифлеема	Вифлеемый	N.ADJ	
Вифлиемскый	Вифлием	ADJ.N	,ск.
Вифлием	Вифлиемский	N.ADJ	,.ск
Виха	Виханский	N.ADJ	,.анск
Вихарый	Вихара	ADJ.N	
Вишенный	Вишена	ADJ.N	,н.
Вишер	Вишерский	N.ADJ	,.ск
Вишерский	Вишерский	ADJ.N	
Виши	Вишный	N.ADJ	,.н
Вишневецкий	Вишневецкий	ADJ.N	
Вишняки	Вишняковый	N.ADJ	,.в
Вишняковский	Вишняков	ADJ.N	,ск.
Владивосток	Владивостокский	N.ADJ	,.ск
Владивосток	Владивостокской	N.ADJ	,.ск
Владивостокской	Владивостокской	ADJ.N	
Владий	Влад	ADJ.N	
Владий	Влады	ADJ.N	
Владикавказский	Владикавказ	ADJ.N	,ск.
Владимиро	Владимирский	N.ADJ	,.ск
Владимирский	Владимирский	ADJ.N	
Владимир	Владимировской	N.ADJ	,.вск
Владимировской	Владимировы	ADJ.N	,ск.
Владимировской	Владимировской	ADJ.N	
Владимировой	Владимирово	ADJ.N	
Владлен	Владленой	N.ADJ	
Владыкино	Владыкиной	N.ADJ	
Владычня	Владычной	N.ADJ	
Владычня	Владычный	N.ADJ	
Власа	Власатый	N.ADJ	,.ат
Власе	Власовой	N.ADJ	,.в
Власовой	Власовы	ADJ.N	
Власовскый	Власов	ADJ.N	,ск.
Власьевский	Власьева	ADJ.N	,ск.
Власьев	Власьевской	N.ADJ	,.ск
Влахерне	Влахернской	N.ADJ	,.ск
Влахернской	Влахернской	ADJ.N	
Влодзимирский	Влодзимирский	ADJ.N	
Влтавой	Влтава	ADJ.N	
Внуковскый	Внуков	ADJ.N	,ск.
Внуково	Внуковский	N.ADJ	,.ск
Вобэнзимый	Вобэнзим	ADJ.N	
Вобэнзимый	Вобэнзима	ADJ.N	
Вова	Вовин	N.ADJ	,.ин
Вовочка	Вовочкин	N.ADJ	,.ин
Вовочка	Вовочкиный	N.ADJ	,.ин
Вовка	Вовкин	N.ADJ	,.ин
Вовкин	Вовкиный	N.ADJ	
Воген	Воген	ADJ.N	
Водлозерья	Водлозерский	N.ADJ	,.ск
Водлозерский	Водлозера	ADJ.N	,ск.
Водневой	Водневой	ADJ.N	
Водолацкий	Водолацкий	ADJ.N	
Водяновой	Водянова	ADJ.N	
Воеводине	Воеводиный	N.ADJ	
Воейк	Воейковой	N.ADJ	,.в
Воздвиженье	Воздвиженский	N.ADJ	,.ск
Воздвиженский	Воздвиженка	ADJ.N	,ск.к
Воздвиженский	Воздвиженск	ADJ.N	
Воздвиженья	Воздвиженской	N.ADJ	,.ск
Воздвиженской	Воздвиженской	ADJ.N	
Вознесенске	Вознесенский	N.ADJ	
Вознесенский	Вознесенский	ADJ.N	
Вознесенской	Вознесенской	ADJ.N	
Возный	Возняк	ADJ.N	,.як
Войкин	Войкиной	N.ADJ	
Войкиной	Войкина	ADJ.N	
Войкове	Войковской	N.ADJ	,.ск
Войковской	Войковской	ADJ.N	
Войнаровский	Войнаровский	ADJ.N	
Войцех	Войцеховский	N.ADJ	,.вск
Волжина	Волжиной	N.ADJ	
Волгодонской	Волгодонск	ADJ.N	
Волгодонской	Волгодонской	ADJ.N	
Волгореченска	Волгореченский	N.ADJ	
Волжск	Волжскый	N.ADJ	
Волкова	Волковский	N.ADJ	,.ск
Волкова	Волковской	N.ADJ	,.ск
Волкогонова	Волкогоновый	N.ADJ	
Волконский	Волконка	ADJ.N	,ск.к
Волновахскый	Волноваха	ADJ.N	,ск.
Волноваха	Волновахский	N.ADJ	,.ск
Волова	Воловский	N.ADJ	,.ск
Воловскый	Воловщина	ADJ.N	,ск.щин
Вологодскый	Вологодчина	ADJ.N	,ск.чин
Володарске	Володарский	N.ADJ	
Володарский	Володар	ADJ.N	,ск.
Володар	Володарской	N.ADJ	,.ск
Володарской	Володарской	ADJ.N	
Володарский	Володарский	ADJ.N	
Володарский	Володарск	ADJ.N	
Володя	Володин	N.ADJ	,.ин
Воложа	Воложый	N.ADJ	
Воложый	Волож	ADJ.N	
Воложый	Воложин	ADJ.N	,.ин
Воложин	Воложинский	N.ADJ	,.ск
Воложинский	Воложина	ADJ.N	,ск.
Воложин	Воложинской	N.ADJ	,.ск
Волоколамске	Волоколамскый	N.ADJ	
Волоколамскый	Волоколамск	ADJ.N	
Волоколамска	Волоколамский	N.ADJ	
Волоколамский	Волоколамский	ADJ.N	
Волоконовскый	Волоконовка	ADJ.N	,ск.к
Волосова	Волосовский	N.ADJ	,.ск
Волосовский	Волосов	ADJ.N	,ск.
Волотовой	Волот	ADJ.N	,в.
Волотовской	Волотова	ADJ.N	,ск.
Волохонский	Волохонский	ADJ.N	
Волочаевской	Волочаевка	ADJ.N	,ск.к
Волочковой	Волочковой	ADJ.N	
Волошина	Волошинский	N.ADJ	,.ск
Волошинский	Волошины	ADJ.N	,ск.
Волошинский	Волошин	ADJ.N	,ск.
Волошин	Волошиной	N.ADJ	
Волошскый	Волох	ADJ.N	,ск.
Волхве	Волховский	N.ADJ	,.ск
Волховский	Волховский	ADJ.N	
Волховы	Волховской	N.ADJ	,.ск
Волховской	Волховской	ADJ.N	
Волхонский	Волхонский	ADJ.N	
Волчанскый	Волчанска	ADJ.N	
Волынскый	Волынец	ADJ.N	,ск.ц
Вольге	Вольгинский	N.ADJ	,.инск
Вольке	Волоцкий	N.ADJ	,ьк.цк
Вольновский	Вольнов	ADJ.N	,ск.
Вольновский	Вольнова	ADJ.N	,ск.
Вольногорск	Вольногорский	N.ADJ	
Вольской	Вольск	ADJ.N	
Вольск	Вольский	N.ADJ	
Вольский	Воловец	ADJ.N	,ьск.вец
Вольский	Волин	ADJ.N	,ьск.ин
Волянский	Волянский	ADJ.N	
Вонифатьев	Вонифатьевской	N.ADJ	,.ск
Вонсовской	Вонсовской	ADJ.N	
Вордстат	Вордстат	ADJ.N	
Вори	Воровский	N.ADJ	,.вск
Воровский	Воровский	ADJ.N	
Воркута	Воркутинский	N.ADJ	,.инск
Ворлд	Ворлд	ADJ.N	
Вормсе	Вормсский	N.ADJ	,.ск
Вормскый	Ворм	ADJ.N	,ск.
Ворм	Вормский	N.ADJ	,.ск
Воробъев	Воробъевый	N.ADJ	
Воробьевской	Воробьева	ADJ.N	,ск.
Воробьева	Воробьевский	N.ADJ	,.ск
Воробьевский	Воробьевский	ADJ.N	
Воробьева	Воробьевый	N.ADJ	
Воробьевской	Воробьевка	ADJ.N	,ск.к
Воробьеву	Воробьеву	ADJ.N	
Воробьёво	Воробьёвый	N.ADJ	
Воронец	Воронцовской	N.ADJ	,.овск
Воронцовской	Воронцовской	ADJ.N	
Воронине	Воронинский	N.ADJ	,.ск
Воронинский	Воронина	ADJ.N	,ск.
Воронин	Воронский	N.ADJ	,ин.ск
Воронский	Воронский	ADJ.N	
Воронко	Воронковой	N.ADJ	,.в
Воронко	Воронковской	N.ADJ	,.вск
Воронковской	Воронкова	ADJ.N	,ск.
Вороновы	Вороновский	N.ADJ	,.ск
Воронцов	Воронцовский	N.ADJ	,.ск
Воронцовский	Воронцовы	ADJ.N	,ск.
Воронцовы	Воронцовый	N.ADJ	
Воротниковский	Воротников	ADJ.N	,ск.
Воротынск	Воротынскый	N.ADJ	
Воротынска	Воротынский	N.ADJ	
Ворошилове	Ворошиловский	N.ADJ	,.ск
Ворошилове	Ворошиловской	N.ADJ	,.ск
Ворошиловской	Ворошиловск	ADJ.N	
Ворошилове	Ворошиловый	N.ADJ	
Ворошиловградской	Ворошиловград	ADJ.N	,ск.
Восковскый	Воскова	ADJ.N	,ск.
Воскресение	Воскресенской	N.ADJ	,и.ск
Воскресенске	Воскресенский	N.ADJ	
Восленский	Восленский	ADJ.N	
Воспора	Восприй	N.ADJ	,
Вот	Вотской	N.ADJ	,.ск
Вотской	Вотье	ADJ.N	,ск.
Воткинской	Воткинск	ADJ.N	
Воткинск	Воткинский	N.ADJ	
Воткинский	Воткинска	ADJ.N	
Воткинской	Воткинской	ADJ.N	
Вотче	Вотчинский	N.ADJ	,.инск
Врадиевский	Врадиевка	ADJ.N	,ск.к
Вронский	Вронский	ADJ.N	
Вронскый	Вронец	ADJ.N	,ск.ц
Вроцлава	Вроцлавский	N.ADJ	,.ск
Вроцлавский	Вроцлав	ADJ.N	,ск.
Всеволжск	Всеволжскый	N.ADJ	
Всеволжске	Всеволжский	N.ADJ	
Всеволодовый	Всеволодова	ADJ.N	
Всеволодова	Всеволодовной	N.ADJ	,.н
Всеволодовной	Всеволодовны	ADJ.N	
Всеволожский	Всеволожск	ADJ.N	
Всеволожский	Всеволожский	ADJ.N	
Всеволожской	Всеволожской	ADJ.N	
Всели	Вселенский	N.ADJ	,.нск
Вселенский	Вселенск	ADJ.N	
Вселенск	Вселенскый	N.ADJ	
Всеславе	Всеславянский	N.ADJ	,.янск
Всесоюз	Всесоюзный	N.ADJ	,.н
Всехсвятский	Всехсвятский	ADJ.N	
Всехсвятской	Всехсвятской	ADJ.N	
Ванин	Ваниной	N.ADJ	
Ваниной	Ваника	ADJ.N	,н.к
Ваниной	Ванино	ADJ.N	
Встовский	Встовский	ADJ.N	
Всходне	Всходне	ADJ.N	,
Вторыгиной	Вторыгина	ADJ.N	
Вуктыльскый	Вуктыл	ADJ.N	,ьск.
Вурнарскый	Вурнары	ADJ.N	,ск.
Вустере	Вустерский	N.ADJ	,.ск
Выборгский	Выборг	ADJ.N	,ск.
Выборгский	Выборгский	ADJ.N	
Выге	Выговской	N.ADJ	,.вск
Выге	Выгский	N.ADJ	,.ск
Выгский	Выга	ADJ.N	,ск.
Выгодский	Выгодский	ADJ.N	
Выдрин	Выдриной	N.ADJ	
Выксу	Выксунский	N.ADJ	,.нск
Выползово	Выползовый	N.ADJ	
Вырицкий	Вырицкий	ADJ.N	
Вырубовой	Вырубова	ADJ.N	
Вырубовой	Вырубовой	ADJ.N	
Высокинский	Высокинский	ADJ.N	
Высоков	Высоковской	N.ADJ	,.ск
Высоковской	Высоковска	ADJ.N	
Высокогорский	Высокогорск	ADJ.N	
Высокогорска	Высокогорскый	N.ADJ	
Высотский	Высотский	ADJ.N	
Высоцкий	Высоцка	ADJ.N	
Высоцкий	Высоцкий	ADJ.N	
Высочестве	Высочествый	N.ADJ	
Вытегре	Вытегорский	N.ADJ	,.ск
Выхино	Выхиный	N.ADJ	
Вычегодской	Вычегодской	ADJ.N	
Вышгород	Вышгородский	N.ADJ	,.ск
Вышгород	Вышгородской	N.ADJ	,.ск
Вышеград	Вышеградский	N.ADJ	,.ск
Вышеградской	Вышеграда	ADJ.N	,ск.
Вышеградской	Вышеградской	ADJ.N	
Вышень	Вышневский	N.ADJ	,.евск
Вышневский	Вышневский	ADJ.N	
Вышни	Вышенский	N.ADJ	,.ск
Вышенский	Вышенский	ADJ.N	
Вышня	Вышенской	N.ADJ	,.ск
Вышня	Вышний	N.ADJ	
Вышний	Вышний	ADJ.N	
Вышний	Выша	ADJ.N	,н.
Вьен	Вьенный	N.ADJ	,.н
Вьенный	Вьенна	ADJ.N	
Вьеннскый	Вьенн	ADJ.N	,ск.
Вьюгин	Вьюгиный	N.ADJ	
Вэньчжоускый	Вэньчжоу	ADJ.N	,ск.
Вэрской	Вэра	ADJ.N	,ск.
Вюртембергский	Вюртемберг	ADJ.N	,ск.
Вюртембергский	Вюртембергский	ADJ.N	
Вяземы	Вяземый	N.ADJ	
Вязниковский	Вязникова	ADJ.N	,ск.
Вязовский	Вязовский	ADJ.N	
Вязовскый	Вязовка	ADJ.N	,ск.к
Вязьмин	Вяземский	N.ADJ	,ьмин.мск
Вяземский	Вяземский	ADJ.N	
Вязьмой	Вязьма	ADJ.N	
Вязьмой	Вязьмой	ADJ.N	
Вязьмой	Вязьмы	ADJ.N	
Вязёмый	Вязёмы	ADJ.N	
Вяльцевой	Вяльцева	ADJ.N	
Вяльцевой	Вяльцевой	ADJ.N	
Вясны	Вясный	N.ADJ	
Вятка	Вяткиный	N.ADJ	,.ин
вятич	вятичской	N.ADJ	,.ск
вятич	вятичий	N.ADJ	
Вячеславовна	Вячеславовной	N.ADJ	
Вячеславовной	Вячеславовны	ADJ.N	
Вёшенской	Вёшенской	ADJ.N	
Гааги	Гаагский	N.ADJ	,.ск
Гаагскый	Гаага	ADJ.N	,ск.
Гаамый	Гаам	ADJ.N	
Гаамый	Гаама	ADJ.N	
Габанный	Габанна	ADJ.N	
Габе	Габеный	N.ADJ	,.н
Габер	Габровский	N.ADJ	,.овск
Габимый	Габима	ADJ.N	
Габиний	Габи	ADJ.N	,ин.
Габи	Габый	N.ADJ	
Габый	Габчик	ADJ.N	,.чик
Габонскый	Габон	ADJ.N	,ск.
Габсбургской	Габсбурга	ADJ.N	,ск.
Гаване	Гаванной	N.ADJ	,.н
Гаваи	Гаваной	N.ADJ	,.н
Гаваной	Гаваной	ADJ.N	
Гавайи	Гавайский	N.ADJ	,.ск
Гавайский	Гаваин	ADJ.N	,йск.ин
Гаванскый	Гавана	ADJ.N	,ск.
Гаврила	Гавриловской	N.ADJ	,.вск
Гавриловской	Гавриловы	ADJ.N	,ск.
Гавриловской	Гаврилова	ADJ.N	,ск.
Гаврилове	Гавриловский	N.ADJ	,.ск
Гавриловской	Гавриловской	ADJ.N	
Гавриловской	Гаврилов	ADJ.N	,ск.
Гавриле	Гавриловой	N.ADJ	,.в
Гавриловой	Гаврил	ADJ.N	,в.
Гаврилина	Гаврилиной	N.ADJ	
Гавы	Гаванский	N.ADJ	,.анск
Гага	Гагиный	N.ADJ	,.ин
Гагарин	Гагаринской	N.ADJ	,.ск
Гагаринской	Гагарины	ADJ.N	,ск.
Гагарин	Гагаринский	N.ADJ	,.ск
Гагарину	Гагарину	ADJ.N	
Гагаузия	Гагаузской	N.ADJ	,и.ск
Гагрскый	Гагр	ADJ.N	,ск.
Гагра	Гагрский	N.ADJ	,.ск
Гагин	Гагинский	N.ADJ	,.ск
Гаджиевой	Гаджиевой	ADJ.N	
Гадячский	Гадяча	ADJ.N	,ск.
Гаевскый	Гаева	ADJ.N	,ск.
Газимурский	Газимур	ADJ.N	,ск.
Газскый	Газа	ADJ.N	,ск.
Газа	Газский	N.ADJ	,.ск
Газский	Газский	ADJ.N	
Гао	Гайский	N.ADJ	,.йск
Гайва	Гаевский	N.ADJ	,йв.вск
Гаевский	Гаевский	ADJ.N	
Гайворон	Гайворонский	N.ADJ	,.ск
Гайданов	Гайдановый	N.ADJ	
Гайдаровскый	Гайдаров	ADJ.N	,ск.
Гайнуллин	Гайнуллиной	N.ADJ	
Гайсине	Гайсинский	N.ADJ	,.ск
Гайсинский	Гайсина	ADJ.N	,ск.
Гайскый	Гай	ADJ.N	,ск.
Гай	Гаевый	N.ADJ	,й.в
Гае	Гаий	N.ADJ	
Гайя	Гайаной	N.ADJ	,.ан
Гайе	Гайный	N.ADJ	,.н
Гайный	Гайна	ADJ.N	
Гакаев	Гакаевый	N.ADJ	
Гаккеля	Гаккелевской	N.ADJ	,.вск
Галаадский	Галаадский	ADJ.N	
Галаадской	Галаада	ADJ.N	,ск.
Галактион	Галактионовой	N.ADJ	,.в
Галапагосский	Галапагосы	ADJ.N	,ск.
Галате	Галатской	N.ADJ	,.ск
Галатской	Галаты	ADJ.N	,ск.
Галатия	Галатийской	N.ADJ	,.йск
Галатский	Галата	ADJ.N	,ск.
Галерий	Галерейный	N.ADJ	,.йн
Галикарнасскый	Галикарнас	ADJ.N	,ск.
Галилейскый	Галилей	ADJ.N	,ск.
Галимый	Галима	ADJ.N	
Галицкой	Галицко	ADJ.N	
Галицын	Галицыной	N.ADJ	
Галичине	Галичиной	N.ADJ	
Галичиной	Галичи	ADJ.N	,ин.
Галкинскый	Галкина	ADJ.N	,ск.
Галкинскый	Галкины	ADJ.N	,ск.
Галкины	Галкинский	N.ADJ	,.ск
Галкинский	Галкин	ADJ.N	,ск.
Галкин	Галкиной	N.ADJ	
Галлиполи	Галлиполийский	N.ADJ	,.ийск
Галия	Галинский	N.ADJ	,.нск
Галинский	Галинский	ADJ.N	
Галия	Гальский	N.ADJ	,и.ьск
Гальский	Галье	ADJ.N	,ьск.
Галик	Галичский	N.ADJ	,.ск
Гальский	Гал	ADJ.N	,ьск.
Гальский	Гальский	ADJ.N	
Галия	Галиевский	N.ADJ	,.вск
Галиевский	Галиевский	ADJ.N	
Галиевский	Галиев	ADJ.N	,ск.
Гальковский	Гальковский	ADJ.N	
Гальперин	Гальпериной	N.ADJ	
Гальцевой	Гальцев	ADJ.N	
Галицин	Галициной	N.ADJ	
Гамбургскый	Гамбург	ADJ.N	,ск.
Гамель	Гамельный	N.ADJ	,.ьн
Гамой	Гама	ADJ.N	
Гангрский	Гангры	ADJ.N	,ск.
Гангутский	Гангута	ADJ.N	,ск.
Гангуте	Гангутской	N.ADJ	,.ск
Гандл	Гандлевский	N.ADJ	,.вск
Ганелин	Ганелиный	N.ADJ	
Ганзен	Ганзен	ADJ.N	
Ганина	Ганиной	N.ADJ	
Ганичкиный	Ганичкина	ADJ.N	
Ганновер	Ганноверской	N.ADJ	,.ск
Ганнушкина	Ганнушкиной	N.ADJ	
Ганскый	Ганка	ADJ.N	,ск.к
Ганскый	Ганы	ADJ.N	,ск.
Ганна	Ганный	N.ADJ	
Ганный	Ганье	ADJ.N	,н.
Ганный	Ганны	ADJ.N	
Ганы	Ганой	N.ADJ	
Ганой	Ганой	ADJ.N	
Ганой	Гануша	ADJ.N	,.уш
Гантимура	Гантимуровый	N.ADJ	,.в
Гантимуровый	Гантимурова	ADJ.N	
Гантимуровый	Гантимуровы	ADJ.N	
Гапоне	Гапоный	N.ADJ	
Гапоный	Гапоны	ADJ.N	
Гарварде	Гарвардской	N.ADJ	,.ск
Гарви	Гарвий	N.ADJ	
Гарднер	Гарднеровский	N.ADJ	,.вск
Гарднеровский	Гарднеров	ADJ.N	,ск.
Гарен	Гарен	ADJ.N	
Гариповой	Гарипова	ADJ.N	
Гариповой	Гариповой	ADJ.N	
Гарифуллин	Гарифуллиной	N.ADJ	
Гарлемый	Гарлема	ADJ.N	
Гарма	Гаремный	N.ADJ	,.н
Гарнерен	Гарнерен	ADJ.N	
Гара	Гарий	N.ADJ	
Гарий	Гарин	ADJ.N	,.ин
Гарин	Гариной	N.ADJ	
Гарий	Гарета	ADJ.N	,.т
Гарий	Гарий	ADJ.N	
Гаро	Гаринский	N.ADJ	,.инск
Гарольдовый	Гарольд	ADJ.N	,в.
Гасан	Гасановый	N.ADJ	,.в
Гасановый	Гасанова	ADJ.N	
Гаспринский	Гаспринский	ADJ.N	
Гате	Гатный	N.ADJ	,.н
Гатный	Гатина	ADJ.N	,н.ин
Гатина	Гатиной	N.ADJ	
Гатаев	Гатаевый	N.ADJ	
Гатчин	Гатчиный	N.ADJ	
Гатчиный	Гатчины	ADJ.N	
Гатчины	Гатчинской	N.ADJ	,.ск
Гатчинской	Гатчина	ADJ.N	,ск.
Гатчина	Гатчинский	N.ADJ	,.ск
Гатчинский	Гатчинский	ADJ.N	
Гатчинской	Гатчинской	ADJ.N	
Гваделупскый	Гваделупа	ADJ.N	,ск.
Гватемалой	Гватемалец	ADJ.N	,.ц
Гватемалой	Гватемалой	ADJ.N	
Гвианскый	Гвиана	ADJ.N	,ск.
Гвиана	Гвианский	N.ADJ	,.ск
Гвиана	Гвианой	N.ADJ	
Гвинеи	Гвинейский	N.ADJ	,.йск
Гвинеи	Гвинеый	N.ADJ	
Гвинея	Гвинейской	N.ADJ	,.йск
Гвинн	Гвинный	N.ADJ	
Гвоздицкий	Гвоздицкий	ADJ.N	
Гдове	Гдовской	N.ADJ	,.ск
Гдовский	Гдова	ADJ.N	,ск.
Гдовский	Гдовский	ADJ.N	
Гебридский	Гебриды	ADJ.N	,ск.
Гегамский	Гегам	ADJ.N	,ск.
Гедеон	Гедеоновый	N.ADJ	,.в
Гедеоновый	Гедеонова	ADJ.N	
Гекате	Гекатий	N.ADJ	
Геккерн	Геккерный	N.ADJ	
Геккерный	Геккер	ADJ.N	,н.
Гелеме	Гелемый	N.ADJ	
Гелемый	Гелемы	ADJ.N	
Гелеме	Гельманый	N.ADJ	,м.ьман
Гелен	Гелен	ADJ.N	
Геленджикскый	Геленджик	ADJ.N	,ск.
Геликон	Геликон	ADJ.N	
Гелой	Гел	ADJ.N	
Гелой	Гелика	ADJ.N	,.ик
Гелой	Гелота	ADJ.N	,.т
Гельсингфорсской	Гельсингфорса	ADJ.N	,ск.
Гема	Гемый	N.ADJ	
Гемфри	Гемфрый	N.ADJ	
Гендриковой	Гендрик	ADJ.N	,в.
Гендриковой	Гендриковой	ADJ.N	
Гениатулин	Гениатулиный	N.ADJ	
Гениатулиный	Гениатулина	ADJ.N	
Генину	Генину	ADJ.N	
Генисаретский	Генисаретский	ADJ.N	
Геническый	Геническа	ADJ.N	
Генн	Генный	N.ADJ	
Генный	Гена	ADJ.N	,н.
Генный	Генчик	ADJ.N	,н.чик
Геннадий	Геннадиевской	N.ADJ	,.иевск
Геннадиевской	Геннадиев	ADJ.N	,ск.
Геннадьевной	Геннадьевна	ADJ.N	
Геннадьевной	Геннадьевны	ADJ.N	
Генуэзской	Генуэзской	ADJ.N	
Генуя	генуэзский	N.ADJ	Г.г,.эзск
Георадар	Георадарный	N.ADJ	,.н
Георг	Георгий	N.ADJ	
Георгий	Георгий	ADJ.N	
Георгий	Георгиевской	N.ADJ	,.иевск
Георгиевской	Георгиевской	ADJ.N	
Георгиевской	Георгиев	ADJ.N	,ск.
Гера	Герый	N.ADJ	
Герый	Герка	ADJ.N	,.к
Герый	Герчик	ADJ.N	,.чик
Геракл	Гераклейский	N.ADJ	,.йск
Геракле	Геракловый	N.ADJ	,.в
Герара	Герарский	N.ADJ	,.ск
Гераре	Герарской	N.ADJ	,.ск
Герасимовский	Герасимов	ADJ.N	,ск.
Герасимово	Герасимовый	N.ADJ	
Герасимовский	Герасимовский	ADJ.N	
Геркулесовый	Геркулесова	ADJ.N	
Герлен	Герлен	ADJ.N	
Германенорден	Германенорден	ADJ.N	
Германе	Германовой	N.ADJ	,.в
Германовой	Германова	ADJ.N	
Гермионе	Гермионой	N.ADJ	
Гермионой	Гермионой	ADJ.N	
Геродоту	Геродотовый	N.ADJ	,у.в
Геродотовый	Геродот	ADJ.N	,в.
Героевскый	Героева	ADJ.N	,ск.
Гертрудой	Гертруда	ADJ.N	
Герцег	Герцег	ADJ.N	
Гершун	Гершунский	N.ADJ	,.ск
Гессенский	Гессенский	ADJ.N	
Гетманскый	Гетманщина	ADJ.N	,ск.щин
Геттисберг	Геттисбергской	N.ADJ	,.ск
Гетьманский	Гетьман	ADJ.N	,ск.
Гефсимания	Гефсиманской	N.ADJ	,и.ск
Гефскый	Гефа	ADJ.N	,ск.
Гжатске	Гжатский	N.ADJ	
Гжатский	Гжатск	ADJ.N	
Гжатской	Гжатска	ADJ.N	
Гжегож	Гжегожый	N.ADJ	
Гжельскый	Гжелка	ADJ.N	,ьск.к
Гжибовский	Гжибовский	ADJ.N	
Гибралтарской	Гибралтар	ADJ.N	,ск.
Гибралтар	Гибралтарский	N.ADJ	,.ск
Гивы	Гивый	N.ADJ	
