form,lemma,upos,feats,frequency,Log_Freq_HAL,I_Mean_RT,qLen
pushed,push,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,3.0195,771.2499683011013,6
entitled,entitle,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.7686,775.3053119314205,8
turned,turn,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",20,3.7315,759.7417791229927,6
spoke,speak,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.2947,766.8018592255178,5
served,serve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",21,3.0035,771.5085792938677,6
visited,visit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.5453,778.9145515992178,7
pick,pick,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",13,4.0051,755.319531146686,4
possessed,possess,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.5328,779.1165914373166,9
hearing,hear,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.3583,765.773880529271,7
record,record,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,3.6401,761.2190944191714,6
marrying,marry,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.9101,773.0182209641421,8
attended,attend,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",9,2.2989,782.8971608878215,8
taught,teach,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",9,3.3497,765.912883937883,6
teaching,teach,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.0048,771.4875671507054,8
beginning,begin,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,3.5079,763.3558677469043,9
began,begin,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",23,3.2198,768.0124819354058,5
conduct,conduct,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.7536,775.5477597371391,7
collaborated,collaborate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.0792,802.6114001301514,12
edit,edit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.8921,789.4723453789094,4
render,render,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.017,787.4535633166261,6
left,leave,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",32,4.3928,749.0530635282132,4
resided,reside,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,0.9031,805.4577373692875,7
dedicated,dedicate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.6201,777.7055452080344,9
invited,invite,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.3149,766.47536284715,7
return,return,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,3.67,760.735815126439,6
died,die,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",26,3.9041,756.9520130385243,4
living,live,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",13,3.9022,756.9827230939154,6
reigned,reign,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.2304,800.1675262485081,7
enlist,enlist,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.9085,789.2072691113237,6
rebelling,rebel,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.2553,799.7650628910153,9
recruited,recruit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.1461,785.3668958687415,9
arrived,arrive,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,3.29,766.8778262046429,7
commissioned,commission,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.8633,789.937845165889,12
rank,rank,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.6375,777.424305753401,4
paint,paint,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,3.2737,767.1412861535238,5
wounded,wound,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.9969,771.6152563283838,7
recovered,recover,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.6522,777.1867069037967,9
exchanged,exchange,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.0334,787.1884870490404,9
promoted,promote,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.4579,780.3272141472047,8
discharged,discharge,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.356,781.9742429073863,10
disbanded,disband,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.4624,796.4176668533942,9
shaped,shape,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.2601,783.5242925452803,6
sent,send,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",10,3.8475,757.8668494254358,4
achieved,achieve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.3424,782.1940622512377,8
redesigning,redesign,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,0.0,820.0547115922506,11
reside,reside,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.7559,791.6737714548341,6
took,take,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",34,4.2419,751.4920884537421,4
chartered,charter,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.6628,793.1785641689941,9
offered,offer,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.1252,769.5415194301377,7
progress,progress,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,3.0354,770.9929736270395,8
received,receive,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",21,3.1575,769.0194484884903,8
spent,spend,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,3.5533,762.6220590549294,5
joining,join,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.7889,774.9771992343481,7
stationed,station,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.2253,784.0867714545474,9
intercepted,intercept,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.1703,784.9757467421822,11
coded,code,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.8865,789.5628592263777,5
receiving,receive,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.5944,778.1209391151657,9
embedding,embed,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,9
acknowledge,acknowledge,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.4969,779.6968498523364,11
predicted,predict,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.1584,785.1680886680523,9
evolved,evolve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.2095,784.3421498099043,7
sell,sell,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.6727,760.6921745214096,4
buy,buy,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",16,3.9919,755.5328852157184,3
according,accord,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",23,11.078,640.9989254755583,9
delivered,deliver,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.9159,772.9244744792642,9
establishing,establish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.8692,789.8424823623064,12
studies,study,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.6794,776.7470682160937,7
illuminated,illuminate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.2788,799.3852279953895,11
motivating,motivate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.0,803.8915245443454,10
generalized,generalize,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.699,808.7566438457649,11
aimed,aim,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.0,787.7283374964404,5
dominate,dominate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.9823,788.0144259071883,8
noticed,notice,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,3.3288,766.2506945471841,7
appeared,appear,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",12,2.699,776.4302697499547,8
recognized,recognize,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.6618,777.0315403081369,10
continues,continue,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",10,3.0374,770.9606472529437,9
met,meet,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",11,3.9894,755.5732931833381,3
conducting,conduct,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.2788,783.2220409474845,10
linked,link,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.3424,782.1940622512377,6
retired,retire,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.7896,774.9658850034145,7
joined,join,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",11,2.9253,772.7725405210139,6
started,start,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",44,3.9808,755.71229659195,7
evoke,evoke,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.2041,800.5926180678681,5
gathered,gather,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.692,776.5434120592901,8
annotated,annotate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,0.0,820.0547115922506,9
stored,store,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.2304,784.0043392006031,6
declared,declare,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.5237,779.2636764394525,8
spend,spend,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.6774,760.6162075422844,5
attracted,attract,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.7825,775.0806436314547,9
waned,wane,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.8451,806.395202218066,5
seemed,seem,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,3.4422,764.4177891359517,6
submit,submit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.4518,780.4258095881969,6
did,do,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",23,5.077,737.9942109500365,3
declaring,declare,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.7404,791.9243008540766,9
judge,judge,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,3.609,761.7217695363612,5
ends,end,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.1942,768.4262595238322,4
form,form,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.3387,766.0906789954099,4
reach,reach,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",10,3.463,764.0815948453553,5
reacted,react,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.9494,788.5461947610644,7
abandon,abandon,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.617,777.7556510878829,7
publishing,publish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.29,783.0410132525479,10
ignore,ignore,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.9786,771.9110426513605,6
polishing,polish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.8388,790.3338432485627,9
talked,talk,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.7183,759.9551331920252,6
alludes,allude,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,5.565,730.1065756706588,7
stayed,stay,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,3.2225,767.9688413303764,6
copied,copy,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.1106,785.9406890089422,6
obliterated,obliterate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.5051,795.7274987664487,11
hint,hint,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.6721,776.8650594815434,4
confided,confide,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.6435,793.4905136790186,8
prompted,prompt,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,1.6721,793.0282465294484,8
provoke,provoke,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.1072,785.995643844905,7
knew,know,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",18,4.2746,750.9635522372755,4
mentioned,mention,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.1923,768.4569695792233,9
supposed,suppose,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",10,4.1094,753.6337107375895,8
provoked,provoke,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.9345,788.7870262480782,8
exclaimed,exclaim,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.6021,810.3228566707069,9
interpolated,interpolate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,5.472,731.609752066114,12
managed,manage,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.9279,772.7305162346893,7
eliminate,eliminate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.4857,779.8778775472729,9
names,name,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,3.4389,764.4711276532098,5
celebrated,celebrate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.143,785.41700174859,10
occasioned,occasion,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.1761,801.0451873052094,10
speculated,speculate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.301,799.0264052429261,10
married,marry,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,4.0851,754.0264761828536,7
imprisoned,imprison,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.0253,787.3194088641284,10
lost,lose,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",20,4.1454,753.0518360038649,4
convinced,convince,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.0261,771.143291266585,9
composing,compose,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.6902,792.7356928438815,9
outlining,outline,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.9542,804.6317985111396,9
judged,judge,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.316,782.6207703893024,6
contains,contain,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.4166,780.9947537722832,8
pouring,pour,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.4814,779.9473792515789,7
exaggerated,exaggerate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.8129,790.7524697931035,11
outlined,outline,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.6128,793.9867235213893,8
doing,do,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",43,4.7201,743.7628524074338,5
submitted,submit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.017,787.4535633166261,9
buried,bury,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,3.2403,767.6811366009238,6
shot,shoot,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,4.0645,754.3594378360403,4
abandoned,abandon,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.8319,774.2821821912881,9
refusing,refuse,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.2253,784.0867714545474,8
ended,end,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",16,3.1796,768.6622420547316,5
were,be,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",15,4.9284,740.3960605453552,4
initiate,initiate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.233,783.9623149142785,8
postponed,postpone,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.0128,787.5214487022272,9
notified,notify,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.3424,782.1940622512377,8
cry,cry,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.5249,763.08109356709,3
die,die,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,4.1245,753.3896466131661,3
erected,erect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.415,797.1838019194649,7
garnered,garner,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,0.0,820.0547115922506,8
starred,star,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,1.5682,794.7076016637259,7
burning,burn,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,3.1937,768.4343411173561,7
earning,earn,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.1206,785.779057138463,7
appearing,appear,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.0792,786.4482130822463,9
acclaimed,acclaim,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.3222,798.6837456775105,9
portrayed,portray,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.4914,795.9489344290049,9
stars,star,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,3.3718,765.5556775041242,5
filming,film,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.2989,782.8971608878215,7
b.,bear,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,0.0,820.0547115922506,2
played,play,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",18,3.458,764.1624107805949,6
co-starred,co-star,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,10
grew,grow,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",15,3.1744,768.7462906273807,4
educated,educate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.4518,780.4258095881969,8
descended,descend,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.9685,788.2374778884495,9
assumed,assume,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.7634,775.3893605040697,7
confirmed,confirm,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.8388,774.1706562006576,9
brought,bring,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",13,3.9438,756.3103345127225,7
remained,remain,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.3502,782.067989392264,8
persecuted,persecute,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.7709,791.4313236491155,10
entered,enter,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.8739,773.6033283352762,7
tolerate,tolerate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.5502,778.835351982683,8
changed,change,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.7117,760.0618102265413,7
re-embarking,re-embark,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,12
journeying,journey,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,10
enlisted,enlist,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.243,783.8006830437995,8
distinguished,distinguish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.4997,779.6515929286022,13
disliked,dislike,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.4624,796.4176668533942,8
complaining,complain,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.7574,775.4863396263571,11
appointed,appoint,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.433,780.7296775046975,9
fleeing,flee,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.0531,786.8700722641967,7
seeking,seek,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.4609,780.278724586061,7
broke,break,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.7288,759.7854197280221,5
helping,help,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.4131,764.8881378790458,7
securing,secure,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.7924,791.0838151275855,8
headed,head,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,3.1962,768.3939331497363,6
created,create,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",12,3.0777,770.3092708149131,7
employed,employ,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.3222,782.5205586296054,8
organizing,organize,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.0043,787.6588357921344,10
raised,raise,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.1183,769.6530454207682,6
closed,close,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,3.4408,764.4404175978189,6
reinterred,reinter,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,10
edited,edit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.7853,791.1985737556256,6
printed,print,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.4871,779.8552490854058,7
liberated,liberate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.9777,788.0887765676086,9
co-founded,co-found,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,10
moving,move,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",18,3.7857,758.8657343849964,6
exploding,explode,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.1239,785.725718621205,9
recalled,recall,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.9085,789.2072691113237,8
drew,draw,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,9.189,671.5311858090508,4
smash,smash,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.6253,777.6214966353854,5
reducing,reduce,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,1.7076,792.4544533892479,8
care,care,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,4.3936,749.0401329785749,4
fix,fix,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,3.6461,761.1221152968839,3
specializing,specialize,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.415,797.1838019194649,12
appreciated,appreciate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.4669,780.1817454637735,11
meet,meet,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",15,4.2545,751.2884322969385,4
seeing,see,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",9,3.7476,759.4815518115215,6
remain,remain,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,3.2292,767.8605479771555,6
help,help,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",27,4.6719,744.5419180231429,4
connect,connect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.6928,776.5304815096517,7
fell,fall,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,3.571,762.3359706441815,4
knowing,know,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,3.3632,765.6946809127362,7
wished,wish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.6243,777.6376598224333,6
treated,treat,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.0864,770.1686510875963,7
got,get,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",47,5.2269,735.5713492115556,3
suffered,suffer,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.8176,774.5133157660732,8
felt,feel,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",33,3.7862,758.8576527914723,4
compelled,compel,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.143,785.41700174859,9
loaded,load,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.9773,771.9320547945227,6
signaled,signal,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.3617,798.0452997891182,8
opened,open,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",11,3.2373,767.7296261620675,6
marked,mark,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.7388,775.7869749054481,6
lay,lie,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",10,3.4729,763.9215792935811,3
added,add,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.6928,776.5304815096517,5
belong,belong,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.3549,765.8288353652339,6
troubled,trouble,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.5403,778.9953675344573,8
spread,spread,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,3.2033,768.2791745216963,6
requesting,request,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.3483,782.0986994476551,10
stopped,stop,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,3.5849,762.1113023442157,7
caught,catch,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,3.6805,760.5661016624359,6
adorns,adorn,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.6021,810.3228566707069,6
bats,bat,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.4914,779.7857473810999,4
throws,throw,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.5855,778.264791479892,6
batted,bat,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.3979,797.4601924179841,6
hit,hit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",17,4.1469,753.027591223293,3
listed,list,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.4548,780.3773200270532,6
graduated,graduate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.5977,778.0676005979076,9
batting,bat,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.2175,784.212844313521,7
named,name,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",12,3.5521,762.641454879387,5
transferring,transfer,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.0828,786.3900256088739,12
posted,post,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.5658,778.5832062647357,6
led,lead,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,3.0885,770.1347083947958,3
scored,score,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",9,2.4683,780.1591170019065,6
drafted,draft,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.0792,786.4482130822463,7
advancing,advance,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.8865,789.5628592263777,9
cut,cut,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",14,4.0689,754.2883198130296,3
hitting,hit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.0795,770.2801770782269,7
expanded,expand,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.7482,791.7982279951029,8
traded,trade,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.3483,782.0986994476551,6
debuted,debut,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,0.0,820.0547115922506,7
won,win,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",17,4.588,745.8980094164621,3
